Report Period,Institution ID,Institution Name,Percent Medical Exemptions,Percent Religious Exemptions,Percent Immunized Measles,Percent Immunized Mumps,Percent Immunized Rubella,Percent Completely Immunized,Street Address,City,State,Zip Code,Location 
2015-2016,31261094,MONROE COMMUNITY COLLEGE,0.01,0,98.3,98.9,98.9,98.2,1000 E HENRIETTA RD,ROCHESTER,NY,14623,"1000 E HENRIETTA RD
ROCHESTER, NY 14623
(43.10040370400003, -77.61425086899999)"
2017-2018,72341271,PACIFIC COLLEGE OF ORIENTAL MEDICINE,1.90,2.5,94.4,94.4,94.4,94.4,915 BROADWAY-THIRD FL,NEW YORK,NY,10107,"915 BROADWAY-THIRD FL
NEW YORK, NY 10107
(40.77073322600006, -73.98225141499995)"
2015-2016,72313187,CUNY GRAD SCHOOL & UNIVERSITY CENTER,0.05,0.2,99.2,99.7,99.7,99.2,365 FIFTH AVE ROOM 8201,NEW YORK,NY,10016,"365 FIFTH AVE ROOM 8201
NEW YORK, NY 10016
(40.74882377000006, -73.98424113899995)"
2016-2017,72341264,CUNY FIORELLO H. LAGUARDIA COMMUNITY COL,0.12,0.13,99.6,99.8,99.8,99.6,3110 THOMSOM AVE,LONG ISLAND CITY,NY,11101,"3110 THOMSOM AVE
LONG ISLAND CITY, NY 11101
(40.74487862900003, -73.93497605799996)"
2017-2018,74341265,PLAZA COLLEGE,0.00,0,100,100,100,100,74-09 37TH AVE,JACKSON HEIGHTS,NY,11372,"74-09 37TH AVE
JACKSON HEIGHTS, NY 11372
(40.74903538400008, -73.89128692599996)"
2016-2017,31262101,SUNY COLLEGE AT BROCKPORT,0.06,0.15,99.8,99.8,99.8,99.7,350 NEW CAMPUS DR,BROCKPORT,NY,14420,"350 NEW CAMPUS DR
BROCKPORT, NY 14420
(43.20922607800003, -77.95071567899998)"
2017-2018,11532036,ELLIS HOSPITAL SCHOOL OF NURSING,0.00,0,100,100,100,100,1101 NOTT ST,SCHENECTADY,NY,12308,"1101 NOTT ST
SCHENECTADY, NY 12308
(42.81970177200003, -73.91833428899997)"
2016-2017,73312230,YESHIVA UNIVERSITY,0.00,0,99.2,99.2,99.2,99.2,500 W 185TH ST,NEW YORK,NY,10033,"500 W 185TH ST
NEW YORK, NY 10033
(40.85074181900006, -73.92980110099995)"
2016-2017,23512075,CLARKSON UNIVERSITY,0.00,0.21,99.8,99.8,99.8,99.8,,POTSDAM,NY,13699,"POTSDAM, NY 13699
(44.664936100000034, -74.99428609999995)"
2016-2017,53502141,ST THOMAS AQUINAS COLLEGE,0.08,0.08,99.8,99.8,99.8,99.8,130 ROUTE 340,SPARKILL,NY,10976,"130 ROUTE 340
SPARKILL, NY 10976
(41.040572147000034, -73.93679159299995)"
2016-2017,61582284,SUNY COLLEGE OF TECHNOLOGY AT FARMINGDAL,0.24,0.15,99.6,99.6,99.6,99.6,1250 MELVILLE RD,FARMINGDALE,NY,11735,"1250 MELVILLE RD
FARMINGDALE, NY 11735
(40.749210326000025, -73.42844850299997)"
2017-2018,61282283,SUNY COLLEGE AT OLD WESTBURY,0.10,0.2,99.6,99.6,99.6,99.6,,OLD WESTBURY,NY,11568,"OLD WESTBURY, NY 11568
(40.78358940000004, -73.60689909999996)"
2015-2016,53662145,CONCORDIA COLLEGE,0.00,0.1,99.8,99.8,99.8,99.8,171 WHITE PLAINS RD,BRONXVILLE,NY,10708,"171 WHITE PLAINS RD
BRONXVILLE, NY 10708
(40.942489685000055, -73.82069164999996)"
2016-2017,11151024,NORTH COUNTRY COMMUNITY COLLEGE,0.12,0.58,98.5,98.5,98.5,98.5,23 SANTANONI AVE,SARANAC LAKE,NY,12983,"23 SANTANONI AVE
SARANAC LAKE, NY 12983
(44.319180825000046, -74.12075831599998)"
2015-2016,14011334,BRYANT & STRATTON COLLEGE - ALBANY CAMPUS,0.25,0.3,99,99.5,99.5,99,1259 CENTRAL AVE,ALBANY,NY,12205,"1259 CENTRAL AVE
ALBANY, NY 12205
(42.69792287400003, -73.81034030299998)"
2016-2017,61581349,SUFFOLK COUNTY COMMUNITY COLLEGE,0.05,0.16,95.4,95.6,95.6,95.4,533 COLLEGE RD,SELDEN,NY,11784,"533 COLLEGE RD
SELDEN, NY 11784
(40.846659946000045, -73.05276340599994)"
2015-2016,11591037,SULLIVAN COUNTY COMMUNITY COLLEGE,0.11,1,98.9,98.9,98.9,98.9,112 COLLEGE RD,LOCH SHELDRAKE,NY,12759,"112 COLLEGE RD
LOCH SHELDRAKE, NY 12759
(41.77668655700006, -74.66587619399996)"
2016-2017,53502135,DOMINICAN COLLEGE OF BLAUVELT,0.00,0,96.8,96.8,96.8,96.8,470 WESTERN HWY,ORANGEBURG,NY,10962,"470 WESTERN HWY
ORANGEBURG, NY 10962
(41.051642377000064, -73.95215503799994)"
2017-2018,21422071,SUNY COLLEGE OF ENVIROMENTAL SCIENCE AND,0.10,0.3,99.4,99.4,99.4,99.4,ONE FORESTRY DR,SYRACUSE,NY,13210,"ONE FORESTRY DR
SYRACUSE, NY 13210
(43.03542984100005, -76.13638796999999)"
2017-2018,74312202,LIM COLLEGE,0.00,0.4,99.6,99.6,99.6,99.6,216 EAST 45TH ST,NEW YORK,NY,10017,"216 EAST 45TH ST
NEW YORK, NY 10017
(40.75224281200008, -73.97205346599998)"
2016-2017,73313205,COLUMBIA UNIVER - HEALTH SCIENCES CAMPUS,0.00,0,100,100,100,100,60 HAVEN AVE,NEW YORK,NY,10032,"60 HAVEN AVE
NEW YORK, NY 10032
(40.84346560400007, -73.94291213799994)"
2016-2017,13133021,UNIFICATION THEOLOGICAL SEMINARY,0.00,0,50,63.2,63.2,50,30 SEMINARY DR,BARRYTOWN,NY,12507,"30 SEMINARY DR
BARRYTOWN, NY 12507
(42.00353979100004, -73.92533836799998)"
2017-2018,71313215,SUNY COLLEGE OF OPTOMETRY,0.00,0,99.8,99.8,99.8,99.8,33 W 42ND ST,NEW YORK,NY,10036,"33 W 42ND ST
NEW YORK, NY 10036
(40.75416495500008, -73.98240911899995)"
2017-2018,53502135,DOMINICAN COLLEGE OF BLAUVELT,0.00,0,98.7,98.7,98.7,98.7,470 WESTERN HWY,ORANGEBURG,NY,10962,"470 WESTERN HWY
ORANGEBURG, NY 10962
(41.051642377000064, -73.95215503799994)"
2016-2017,53442000,U.T.A. MESIVTA OF KIRYAS JOEL,0.00,0.89,99.1,99.1,99.1,99.1,,MONROE,NY,10950,"MONROE, NY 10950
(41.340940000000046, -74.16694999999999)"
2016-2017,73312200,THE JUILLIARD SCHOOL,0.12,0.83,99,99,99,99,70 LINCOLN CTR PLZ   22ND FL,NEW YORK,NY,10023,"70 LINCOLN CTR PLZ 22ND FL
NEW YORK, NY 10023
(40.77272768200004, -73.98260615699996)"
2017-2018,61281281,NEW YORK COLLEGE OF HEALTH PROFESSIONS,0.40,2.8,95,95,95,95,6801 JERICHO TURNPIKE SUITE 300,SYOSSET,NY,11791,"6801 JERICHO TURNPIKE SUITE 300
SYOSSET, NY 11791
(40.808910439000044, -73.51625330099995)"
2016-2017,73332345,TALMUDICAL SEMINARY OF BOBOV,0.00,1.08,93.2,87.5,87.5,87.5,4820 16TH AVE,BROOKLYN,NY,11204,"4820 16TH AVE
BROOKLYN, NY 11204
(40.63121502300004, -73.98534464799997)"
2017-2018,33262095,NAZARETH COLLEGE OF ROCHESTER,0.00,0.1,99.2,99.2,99.2,99.2,4245 EAST AVE,ROCHESTER,NY,14618,"4245 EAST AVE
ROCHESTER, NY 14618
(43.10276568200004, -77.51467433699997)"
2016-2017,53502148,YESHIVATH VIZNITZ,0.00,0.58,91.1,93.3,93.3,91.1,15 ELYON RD,MONSEY,NY,10952,"15 ELYON RD
MONSEY, NY 10952
(41.11478143000005, -74.07097602599998)"
2017-2018,73312208,THE NEW SCHOOL,0.30,0.5,96.8,97.3,97.3,96.7,"80 FIFTH AVE, 3RD FL",NEW YORK,NY,10011,"80 FIFTH AVE, 3RD FL
NEW YORK, NY 10011
(40.735811787000046, -73.99378850199997)"
2016-2017,63282282,MOLLOY COLLEGE,0.04,0.04,99.7,99.7,99.7,99.7,1000 HEMPSTEAD AVE,ROCKVILLE CENTRE,NY,11571,"1000 HEMPSTEAD AVE
ROCKVILLE CENTRE, NY 11571
(40.68639646200006, -73.62483088299996)"
2016-2017,24411061,UTICA SCHOOL OF COMMERCE,0.00,0,100,100,100,100,201 BLEECKER ST,UTICA,NY,13501,"201 BLEECKER ST
UTICA, NY 13501
(43.101706903000036, -75.22891200099997)"
2016-2017,34261091,BRYANT & STRATTON COLLEGE - HENRIETTA,0.00,0,100,100,100,100,1225 JEFFERSON RD,ROCHESTER,NY,14623,"1225 JEFFERSON RD
ROCHESTER, NY 14623
(43.08704752500006, -77.59959861099998)"
2017-2018,54661168,THE COLLEGE OF WESTCHESTER,0.00,0,99.1,98.8,99.4,98.8,325 CENTRAL AVE,WHITE PLAINS,NY,10602,"325 CENTRAL AVE
WHITE PLAINS, NY 10602
(41.03381669800007, -73.78468319199999)"
2016-2017,43142121,DAEMEN COLLEGE,0.00,0.16,99.8,99.8,99.8,99.8,4380 MAIN ST,AMHERST,NY,14226,"4380 MAIN ST
AMHERST, NY 14226
(42.96376943200005, -78.78876910099996)"
2017-2018,72313187,CUNY GRAD SCHOOL & UNIVERSITY CENTER,0.10,0.2,99.3,99.7,99.7,99.3,365 FIFTH AVE ROOM 8201,NEW YORK,NY,10016,"365 FIFTH AVE ROOM 8201
NEW YORK, NY 10016
(40.74877593600007, -73.98427483299997)"
2015-2016,72342262,CUNY QUEENS COLLEGE,0.02,0.2,99.8,99.8,99.8,99.8,65-30 KISSENA BLVD,FLUSHING,NY,11367,"65-30 KISSENA BLVD
FLUSHING, NY 11367
(40.73610559600007, -73.81478687099997)"
2016-2017,53663167,BEER YAAKOV TALMUDIC SEMINARY,0.00,0.42,95.1,96.8,96.8,95.1,12 JEFFERSON AVE,SPRING VALLEY,NY,10977,"12 JEFFERSON AVE
SPRING VALLEY, NY 10977
(41.13933330100008, -74.02848620199995)"
2017-2018,21512075,SUNY COLLEGE AT POTSDAM,0.10,0.3,99.6,99.6,99.6,99.6,44 PIERREPONT AVENUE,POTSDAM,NY,13676,"44 PIERREPONT AVENUE
POTSDAM, NY 13676
(44.66370140200007, -74.97852274599995)"
2017-2018,73332338,MIRRER YESHIVA CENTRAL INSTITUTE,0.60,0.6,98.9,98.9,98.9,98.9,1795 OCEAN PARKWAY,BROOKLYN,NY,11223,"1795 OCEAN PARKWAY
BROOKLYN, NY 11223
(40.60500435500006, -73.96649716399997)"
2016-2017,53662165,OHR HAMEIR THEOLOGICAL SEMINARY,0.00,0,100,100,100,100,141 FURNACE WOODS ROAD,CORTLANDT MANOR,NY,10567,"141 FURNACE WOODS ROAD
CORTLANDT MANOR, NY 10567
(41.26900410500008, -73.88886306999996)"
2017-2018,74312221,SCHOOL OF VISUAL ARTS,0.10,0.3,99.6,99.6,99.6,99.6,209 E 23RD ST,NEW YORK,NY,10010,"209 E 23RD ST
NEW YORK, NY 10010
(40.73852928300005, -73.98240129299995)"
2017-2018,72341268,"CHRISTIE'S EDUCATION, INC",0.00,0,100,100,100,100,11 WEST 42ND ST   8TH FLOOR,NEW YORK,NY,10036,"11 WEST 42ND ST 8TH FLOOR
NEW YORK, NY 10036
(40.75397409000004, -73.98199112199995)"
2016-2017,74311260,ART INSTITUTE OF NEW YORK CITY,0.00,0,100,100,100,100,218-232 W. 40TH ST.,NEW YORK,NY,10018,"218-232 W. 40TH ST.
NEW YORK, NY 10018
(40.75515881200005, -73.98892404999998)"
2015-2016,23512075,CLARKSON UNIVERSITY,0.00,0.3,99.7,99.7,99.7,99.7,8 CLARKSON AVENUE,POTSDAM,NY,13699,"8 CLARKSON AVENUE
POTSDAM, NY 13699
(44.666971501000035, -74.99408934799999)"
2017-2018,73312232,YESHIVA UNIVERSITY GRADUATE PROGRAMS ON,0.00,0,94,94,94,94,500 WEST 185 STREET,NEW YORK,NY,10033,"500 WEST 185 STREET
NEW YORK, NY 10033
(40.85074181900006, -73.92980110099995)"
2017-2018,33432105,FINGER LAKES HEALTH COLLEGE OF NURSING,0.00,0,100,100,100,100,196 NORTH ST.,GENEVA,NY,14456,"196 NORTH ST.
GENEVA, NY 14456
(42.87571949800008, -76.98770155499994)"
2016-2017,72342262,CUNY QUEENS COLLEGE,0.01,0.13,99.9,99.9,99.9,99.9,65-30 KISSENA BLVD,FLUSHING,NY,11367,"65-30 KISSENA BLVD
FLUSHING, NY 11367
(40.73607083300004, -73.81481226199998)"
2016-2017,53661144,MONTEFIORI SCHOOL OF NURSING,0.84,0,99.2,98.3,99.2,98.3,53 VALENTINE STREET,MOUNT VERNON,NY,10550,"53 VALENTINE STREET
MOUNT VERNON, NY 10550
(40.91208717200004, -73.84041795199994)"
2017-2018,73313305,NEW YORK ACADEMY OF ART,0.00,0,82.9,82.9,82.9,82.9,111 FRANKLIN ST,NEW YORK,NY,10013,"111 FRANKLIN ST
NEW YORK, NY 10013
(40.71849103100004, -74.00587400399996)"
2016-2017,13533033,MID-AMERICA BAPTIST THEOLOGICAL SEMINARY,0.00,0,100,100,100,100,2810 CURRY ROAD EXTENSION,SCHENECTADY,NY,12303,"2810 CURRY ROAD EXTENSION
SCHENECTADY, NY 12303
(42.74381255800006, -73.90338983299995)"
2017-2018,53662147,IONA COLLEGE,0.00,0.1,98.8,99,99,98.8,715 NORTH AVE,NEW ROCHELLE,NY,10801,"715 NORTH AVE
NEW ROCHELLE, NY 10801
(40.92551286300005, -73.78843532599996)"
2016-2017,31431103,FINGER LAKES COMMUNITY COLLEGE,0.10,0.23,99.1,99.1,99.1,99.1,4355 LAKESHORE DR,CANANDAIGUA,NY,14424,"4355 LAKESHORE DR
CANANDAIGUA, NY 14424
(42.87195773800005, -77.24287680899994)"
2017-2018,11621039,ULSTER COUNTY COMMUNITY COLLEGE,0.10,1.1,96,96.4,96.4,96,491 COTTEKILL RD,STONE RIDGE,NY,12484,"491 COTTEKILL RD
STONE RIDGE, NY 12484
(41.85591342600003, -74.13125696399999)"
2017-2018,23421063,POMEROY COLLEGE OF NURSING,0.00,0,100,100,100,100,765 IRVING AVE,SYRACUSE,NY,13210,"765 IRVING AVE
SYRACUSE, NY 13210
(43.04018730400003, -76.13788540099995)"
2016-2017,73313172,BANK STREET COLLEGE OF EDUCATION,0.00,0.52,98.2,98.2,98.2,98.2,610 W 112TH ST,NEW YORK,NY,10025,"610 W 112TH ST
NEW YORK, NY 10025
(40.80573881200007, -73.96653196599993)"
2016-2017,73312184,RELAY GRADUATE SCHOOL OF EDUCATION,0.19,0.19,96.3,96.3,96.3,96.3,"40 WEST 20 STREET, 6TH FL",NEW YORK,NY,10011,"40 WEST 20 STREET, 6TH FL
NEW YORK, NY 10011
(40.74060678600006, -73.99324404999999)"
2017-2018,43141131,VILLA MARIA COLLEGE OF BUFFALO,0.20,0.3,96.8,96.8,96.8,96.8,240 PINE RIDGE RD,BUFFALO,NY,14225,"240 PINE RIDGE RD
BUFFALO, NY 14225
(42.91233217000007, -78.79612420399997)"
2015-2016,44141336,ITT TECHNICAL INSTITUTE - GETSVILLE,0.00,0,77.4,77.4,77.4,77.4,2295 MILLERSPORT HWY,GETZVILLE,NY,14068,"2295 MILLERSPORT HWY
GETZVILLE, NY 14068
(43.01247128800003, -78.77014317599998)"
2016-2017,61281280,ISLAND DRAFTING AND TECHNICAL INSTITUTE,0.00,0,100,100,100,100,128 BROADWAY (ROUTE 110),AMITYVILLE,NY,11701,"128 BROADWAY (ROUTE 110)
AMITYVILLE, NY 11701
(40.67570577500004, -73.41654608599998)"
2017-2018,73322234,COLLEGE OF MOUNT SAINT VINCENT,0.10,0.1,99.8,99.8,99.8,99.8,6301 RIVERDALE AVE,BRONX,NY,10471,"6301 RIVERDALE AVE
BRONX, NY 10471
(40.91261798100004, -73.90257532899994)"
2017-2018,64581275,FIVE TOWNS COLLEGE,0.20,0.2,99.5,99.5,99.5,99.5,305 N SERVICE RD,DIX HILLS,NY,11746,"305 N SERVICE RD
DIX HILLS, NY 11746
(40.79082183700007, -73.36761147399994)"
2016-2017,21211048,HERKIMER COUNTY COMMUNITY COLLEGE,0.23,0.3,93.7,94.1,94.1,93.7,100 RESERVOIR RD,HERKIMER,NY,13350,"100 RESERVOIR RD
HERKIMER, NY 13350
(43.033514256000046, -75.00144137199999)"
2015-2016,71313215,SUNY COLLEGE OF OPTOMETRY,0.00,0,99.7,100,100,99.7,33 W 42ND ST,NEW YORK,NY,10036,"33 W 42ND ST
NEW YORK, NY 10036
(40.75417012500003, -73.98240828699994)"
2016-2017,33682107,KEUKA COLLEGE,0.10,0.1,99.5,99.5,99.5,99.5,141 CENTRAL AVENUE,KEUKA PARK,NY,14478,"141 CENTRAL AVENUE
KEUKA PARK, NY 14478
(42.61531478000006, -77.09186518799999)"
2016-2017,73312199,JEWISH THEOLOGICAL SEMINARY OF AMERICA,0.00,0,99.3,99.7,99.7,99.3,3080 BROADWAY,NEW YORK,NY,10027,"3080 BROADWAY
NEW YORK, NY 10027
(40.81192851700007, -73.96085584399998)"
2016-2017,72341266,CUNY QUEENSBOROUGH COMMUNITY COLLEGE,0.03,0.07,99.9,99.9,99.9,99.9,SPRINGFIELD BOULEVARD & 56TH AVE,BAYSIDE,NY,11364,"SPRINGFIELD BOULEVARD & 56TH AVE
BAYSIDE, NY 11364
(40.74564285900004, -73.75495349199997)"
2016-2017,21512076,SUNY COLLEGE OF TECHNOLOGY AT CANTON,0.09,0.17,99.3,99.3,99.3,99.3,34 CORNELL DR,CANTON,NY,13617,"34 CORNELL DR
CANTON, NY 13617
(44.602226949000055, -75.18599473999996)"
2017-2018,72312173,CUNY BERNARD M. BARUCH COLLEGE,0.10,0.1,99.8,99.8,99.8,99.8,17 LEXINGTON AVE,NEW YORK,NY,10010,"17 LEXINGTON AVE
NEW YORK, NY 10010
(40.739179988000046, -73.98494585199995)"
2015-2016,64581293,LONG ISLAND BUSINESS INSTITUTE -Flushing,0.61,0,95.9,99.4,99.4,95.9,136-18 39TH AVE,FLUSHING,NY,11354,"136-18 39TH AVE
FLUSHING, NY 11354
(40.76033002600008, -73.82973432099999)"
2016-2017,73342329,BEIS MEDRASH HEICHAL DOVID,0.00,0,99.1,99.1,99.1,99.1,257 BEACH 17TH ST.,FAR ROCKAWAY,NY,11691,"257 BEACH 17TH ST.
FAR ROCKAWAY, NY 11691
(40.596412316000055, -73.75124652699998)"
2015-2016,21032042,SUNY BINGHAMTON,0.04,0.2,99.8,99.8,99.8,99.8,VESTAL PARKWAY E,BINGHAMTON,NY,13902,"VESTAL PARKWAY E
BINGHAMTON, NY 13902
(42.10172753200004, -75.90639368799998)"
2016-2017,73313220,ROCKEFELLER UNIVERSITY,0.00,0.45,99.5,99.5,99.5,99.5,1230 YORK AVE,NEW YORK,NY,10021,"1230 YORK AVE
NEW YORK, NY 10021
(40.76304846200003, -73.95643709799998)"
2016-2017,13161025,PAUL SMITH'S COLLEGE,0.00,0,99.8,99.8,99.8,99.8,ROUTES 86 AND 30,PAUL SMITHS,NY,12970,"ROUTES 86 AND 30
PAUL SMITHS, NY 12970
(44.43993381700005, -74.24679268099999)"
2017-2018,51501140,ROCKLAND COMMUNITY COLLEGE,0.10,0.4,98.2,98.2,98.3,97.9,145 COLLEGE RD,SUFFERN,NY,10901,"145 COLLEGE RD
SUFFERN, NY 10901
(41.133710790000066, -74.08301576899999)"
2017-2018,13011007,MARIA COLLEGE OF ALBANY,0.00,0,99.9,100,100,99.9,700 NEW SCOTLAND AVE,ALBANY,NY,12208,"700 NEW SCOTLAND AVE
ALBANY, NY 12208
(42.65796856800006, -73.80544292999997)"
2017-2018,61582284,SUNY COLLEGE OF TECHNOLOGY AT FARMINGDAL,0.20,0.3,99.6,99.6,99.6,99.6,1250 MELVILLE RD,FARMINGDALE,NY,11735,"1250 MELVILLE RD
FARMINGDALE, NY 11735
(40.749210326000025, -73.42844850299997)"
2016-2017,71322241,SUNY MARITIME COLLEGE,0.00,0.16,99.1,99.1,99.1,99.1,6 PENNYFIELD AVE,BRONX,NY,10465,"6 PENNYFIELD AVE
BRONX, NY 10465
(40.80918810900005, -73.80124168999998)"
2017-2018,73332355,YESHIVA OF NITRA RABBINICAL COLLEGE,0.00,1.7,77.5,82.6,82.6,77.5,194 DIVISION AVE,BROOKLYN,NY,11211,"194 DIVISION AVE
BROOKLYN, NY 11211
(40.70734063800006, -73.95981499099997)"
2017-2018,33262103,TALMUDICAL INSTITUTE OF UPSTATE NEW YORK,0.00,0,100,100,100,100,769 PARK AVE,ROCHESTER,NY,14607,"769 PARK AVE
ROCHESTER, NY 14607
(43.14722511200006, -77.57483163099994)"
2017-2018,53502143,OHR SOMAYACH TANENBAUM EDUCATIONAL CTR,0.00,0,100,100,100,100,244 ROUTE 306,MONSEY,NY,10952,"244 ROUTE 306
MONSEY, NY 10952
(41.13394185300007, -74.06662542799995)"
2015-2016,71312094,NEW YORK CAREER INSTITUTE,0.00,0.5,99.5,99.3,99.3,99.3,11 PARK PLACE,NEW YORK,NY,10007,"11 PARK PLACE
NEW YORK, NY 10007
(40.71282129600007, -74.00824696599994)"
2016-2017,21512075,SUNY COLLEGE AT POTSDAM,0.05,0.19,99.8,99.8,99.8,99.8,44 PIERREPONT AVENUE,POTSDAM,NY,13676,"44 PIERREPONT AVENUE
POTSDAM, NY 13676
(44.66370140200007, -74.97852274599995)"
2016-2017,73312180,METROPOLITAN COLLEGE OF NY,0.39,0,99.6,99.6,99.6,99.6,75 VARICK ST,NEW YORK,NY,10013,"75 VARICK ST
NEW YORK, NY 10013
(40.72326762000006, -74.00623637699994)"
2016-2017,73312329,AMERICAN MUSEUM OF NATURAL HISTORY PHD P,0.00,0,100,100,100,100,CENTRAL PARK WEST @ 79TH STREET,NEW YORK,NY,10024,"CENTRAL PARK WEST @ 79TH STREET
NEW YORK, NY 10024
(40.783586841000044, -73.97057701499995)"
2016-2017,73313193,GENERAL THEOLOGICAL SEMINARY,0.00,0,100,100,100,100,440 W 21ST STREET,NEW YORK,NY,10011,"440 W 21ST STREET
NEW YORK, NY 10011
(40.74559278600003, -74.00326096599997)"
2017-2018,33072088,ELMIRA COLLEGE,0.00,0.2,99.7,99.7,99.7,99.4,1 PARK PLACE,ELMIRA,NY,14901,"1 PARK PLACE
ELMIRA, NY 14901
(42.098627727000064, -76.81529945499994)"
2016-2017,43402134,NIAGARA UNIVERSITY,0.00,0,99.5,99.5,99.5,99.5,STUDENT HEALTH SERVICES,NIAGARA UNIVERSITY,NY,14109,"STUDENT HEALTH SERVICES
NIAGARA UNIVERSITY, NY 14109
(43.13647000000003, -79.03941999999995)"
2016-2017,53592000,YESHIVATH ZICHRON MOSHE,0.52,1.05,98.4,98.4,98.4,98.4,,SOUTH FALLSBURG,NY,12779,"SOUTH FALLSBURG, NY 12779
(41.712371500000074, -74.63261099999994)"
2016-2017,73342328,ST JOHN'S UNIVERSITY,0.06,0.11,99.4,99.4,99.4,99.4,GRAND CENTRAL & UTOPIS PKWYS,JAMAICA,NY,11439,"GRAND CENTRAL & UTOPIS PKWYS
JAMAICA, NY 11439
(40.721115800000064, -73.79042489999995)"
2016-2017,21251053,SUNY COLLEGE OF AG & TECH AT MORRISVILLE,0.04,0.11,99.8,99.8,99.8,99.8,,MORRISVILLE,NY,13408,"MORRISVILLE, NY 13408
(42.902000300000054, -75.65245829999998)"
2016-2017,43141124,HILBERT COLLEGE,0.00,0.12,96.3,96.3,96.3,96.1,5200 SOUTH PARK AVE,HAMBURG,NY,14075,"5200 SOUTH PARK AVE
HAMBURG, NY 14075
(42.75416646600007, -78.82460266699997)"
2015-2016,13012005,COLLEGE OF SAINT ROSE,0.11,0.1,99.8,99.8,99.8,99.8,432 WESTERN AVE,ALBANY,NY,12203,"432 WESTERN AVE
ALBANY, NY 12203
(42.66472040100007, -73.78631773799998)"
2015-2016,23212049,HOLY TRINITY ORTHODOX SEMINARY,0.00,0,81.5,100,100,81.5,CORNER ROBINSON RD & RT 167,JORDANVILLE,NY,13361,"CORNER ROBINSON RD & RT 167
JORDANVILLE, NY 13361
(42.89139013800008, -74.83661938299997)"
2017-2018,73332350,YESHIVA GEDOLAH IMREI YOSEF D'SPINKA,0.00,2.6,97.4,97.4,97.4,97.4,1466 56TH ST.,BROOKLYN,NY,11219,"1466 56TH ST.
BROOKLYN, NY 11219
(40.628718923000065, -73.99231795999998)"
2016-2017,13532035,UNION COLLEGE,0.05,0.28,99.7,99.7,99.7,99.7,807 UNION ST,SCHENECTADY,NY,12308,"807 UNION ST
SCHENECTADY, NY 12308
(42.814798764000045, -73.93216126599998)"
2017-2018,61582296,SUNY STONY BROOK,0.10,0.1,99.8,99.8,99.8,99.8,1 STADIUM,STONY BROOK,NY,11794,"1 STADIUM
STONY BROOK, NY 11794
(40.91967913500008, -73.12117497299994)"
2016-2017,23032040,DAVIS COLLEGE -ATTN: STUDENT HEALTH,1.25,2.5,95.6,95.6,95.6,95.6,400 RIVERSIDE DR,JOHNSON CITY,NY,13790,"400 RIVERSIDE DR
JOHNSON CITY, NY 13790
(42.101905669000075, -75.96099825799996)"
2016-2017,74311225,TECHNICAL CAREER INSTITUTES,0.12,0.04,95.5,96.1,96.1,95.4,320 W 31ST ST,NEW YORK,NY,10001,"320 W 31ST ST
NEW YORK, NY 10001
(40.750712812000074, -73.99593513399998)"
2015-2016,63582290,LONG ISLAND UNIVERSITY - RIVERHEAD CAMPUS,0.00,0,100,100,100,100,121 SPEONK-RIVERHEAD RD,RIVERHEAD,NY,11901,"121 SPEONK-RIVERHEAD RD
RIVERHEAD, NY 11901
(40.87638947800008, -72.69691642899994)"
2017-2018,73312183,COOPER UNION FOR THE ADVANCEMENT OF SCIE,0.10,0.4,99.4,99.5,99.5,99.4,30 COOPER SQ,NEW YORK,NY,10003,"30 COOPER SQ
NEW YORK, NY 10003
(40.72800129500007, -73.99133809599994)"
2016-2017,13492327,THE SAGE COLLEGES,0.15,0.1,99.6,99.7,99.7,99.6,FIRST ST,TROY,NY,12180,"FIRST ST
TROY, NY 12180
(42.71971196900006, -73.69539381799996)"
2017-2018,11012012,SUNY ALBANY,0.00,0.2,99.7,99.7,99.7,99.7,1400 WASHINGTON AVE,ALBANY,NY,12222,"1400 WASHINGTON AVE
ALBANY, NY 12222
(42.69075851800005, -73.82303221799998)"
2017-2018,11092014,SUNY COLLEGE AT PLATTSBURGH,0.10,0.1,99.8,99.8,99.8,99.8,101 BROAD ST,PLATTSBURGH,NY,12901,"101 BROAD ST
PLATTSBURGH, NY 12901
(44.69502312900005, -73.46579958599995)"
2017-2018,73332337,MESIVTA TORAH VODAATH  RABBINICAL SEMINA,0.00,3.9,88.3,88.3,88.3,88.3,425 EAST 9TH ST.,BROOKLYN,NY,11218,"425 EAST 9TH ST.
BROOKLYN, NY 11218
(40.63819975700005, -73.96965490499997)"
2017-2018,73332332,BETH HATALMUD RABBINICAL COLLEGE,8.30,0,91.7,91.7,91.7,91.7,2127 82ND ST.,BROOKLYN,NY,11214,"2127 82ND ST.
BROOKLYN, NY 11214
(40.60508098200006, -73.99286596699994)"
2016-2017,73322238,MANHATTAN COLLEGE,0.00,0.09,98.8,99.1,99.1,98.7,4513 MANHATTAN COLLEGE PARKWAY,RIVERDALE,NY,10471,"4513 MANHATTAN COLLEGE PARKWAY
RIVERDALE, NY 10471
(40.89068734400007, -73.90828455499997)"
2015-2016,43141130,TROCAIRE COLLEGE,0.00,0.1,99.3,99.3,99.3,99.3,360 CHOATE AVENUE,BUFFALO,NY,14220,"360 CHOATE AVENUE
BUFFALO, NY 14220
(42.846742791000054, -78.81186519599999)"
